csdata_id	e_energy	sigma
29528	12.98593721	0.0
29529	12.99292646	3.0749904e-05
29530	13.00653161	0.0001167354
29531	13.02013677	0.00027159703
29532	13.03374193	0.00039491209
29533	13.04734709	0.00064924537
29534	13.06095225	0.00094536347
29535	13.07455741	0.00079638089
29536	13.08816257	0.00085352855
29537	13.10176772	0.00074036454
29538	13.11537288	0.00068060356
29539	13.12897804	0.00063333857
29540	13.1425832	0.00058710151
29541	13.15618836	0.00054148149
29542	13.16979352	0.0005680429
29543	13.18339868	0.00052595285
29544	13.19700383	0.00055511064
29545	13.21060899	0.00049790878
29546	13.22421415	0.00042909893
29547	13.23781931	0.00043791631
29548	13.25142447	0.00041650387
29549	13.26502963	0.00046062941
29550	13.27863479	0.00053802323
29551	13.3058451	0.00070975088
29552	13.31945026	0.0010970459
29553	13.33305542	0.0012054804
29554	13.34666058	0.001274681
29555	13.36026574	0.0012038266
29556	13.3738709	0.0012356418
29557	13.38747605	0.0013523712
29558	13.40108121	0.0014482932
29559	13.41468637	0.0014515683
29560	13.42829153	0.0014750039
29561	13.44189669	0.001504727
29562	13.45550185	0.0010943108
29563	13.46910701	0.00162494
29564	13.48271216	0.0016575762
29565	13.49631732	0.0017795485
29566	13.50992248	0.001894114
29567	13.52352764	0.002249593
29568	13.5371328	0.0020732665
29569	13.55073796	0.0021406325
29570	13.56434312	0.002074682
29571	13.57794827	0.001816697
29572	13.59155343	0.0014793594
29573	13.60515859	0.0015214627
29574	13.61876375	0.0010343448
29575	13.63236891	0.00088966799
29576	13.64597407	0.00073349226
29577	13.65957923	0.00081400616
29578	13.67318438	0.00096219666
29579	13.7003947	0.00083181678
29580	13.71399986	0.0011089109
29581	13.75481534	0.00074059875
29582	13.76842049	0.00083141226
29583	13.78202565	0.0010609653
29584	13.79563081	0.00092731103
29585	13.80923597	0.00097526673
29586	13.82284113	0.00087988845
29587	13.83644629	0.00084407942
29588	13.85005145	0.0010856824
29589	13.8636566	0.0010881788
29590	13.87726176	0.0011061089
29591	13.89086692	0.0010275595
29592	13.90447208	0.0010010845
29593	13.91807724	0.0011014422
29594	13.9316824	0.0011881762
29595	13.94528756	0.0013938215
29596	13.95889272	0.0013151073
29597	13.97249787	0.0013265591
29598	13.98610303	0.0013477061
29599	13.99970819	0.0013103568
29600	14.01331335	0.0012663677
29601	14.02691851	0.0011453058
29602	14.04052367	0.001224094
29603	14.05412883	0.0011801195
29604	14.06773398	0.0012025139
29605	14.08133914	0.0012050458
29606	14.0949443	0.0012165276
29607	14.10854946	0.0012480282
29608	14.12215462	0.0012597187
29609	14.13575978	0.0012093024
29610	14.14936494	0.0011846214
29611	14.16297009	0.0012461459
29612	14.17657525	0.0011121421
29613	14.19018041	0.0010284101
29614	14.20378557	0.0010495883
29615	14.21739073	0.0009782114
29616	14.23099589	0.00097478594
29617	14.24460105	0.00099262747
29618	14.2582062	0.00095061209
29619	14.27181136	0.0010657616
29620	14.28541652	0.0010580767
29621	14.29902168	0.00088917785
29622	14.31262684	0.00088375099
29623	14.326232	0.00083448374
29624	14.33983716	0.00081330891
29625	14.35344231	0.00085337123
29626	14.36704747	0.00084792417
29627	14.38065263	0.0007786869
29628	14.39425779	0.00082600968
29629	14.40786295	0.00083260061
29630	14.42146811	0.00069288818
29631	14.43507327	0.00067746172
29632	14.44867842	0.00069295196
29633	14.46228358	0.00072999599
29634	14.47588874	0.00073336785
29635	14.4894939	0.00074292413
29636	14.50309906	0.00076174365
29637	14.51670422	0.00079393697
29638	14.53030938	0.00079942716
29639	14.54391453	0.00087732823
29640	14.55751969	0.00091395865
29641	14.57112485	0.00086016991
29642	14.58473001	0.00096097498
29643	14.59833517	0.0010584646
29644	14.61194033	0.0010811943
29645	14.62554549	0.0011607873
29646	14.63915064	0.0011309149
29647	14.6527558	0.0011829744
29648	14.66636096	0.0011791581
29649	14.67996612	0.0012451017
29650	14.69357128	0.0010708572
29651	14.70717644	0.0011449298
29652	14.7207816	0.0011444873
29653	14.73438675	0.0010990745
29654	14.74799191	0.0011141236
29655	14.76159707	0.0010932513
29656	14.77520223	0.0010821157
29657	14.78880739	0.0011670004
29658	14.80241255	0.0012150807
29659	14.81601771	0.0011471374
29660	14.82962286	0.0010503876
29661	14.84322802	0.0010157426
29662	14.85683318	0.00095254338
29663	14.87043834	0.0010743101
29664	14.8840435	0.00093938082
29665	14.89764866	0.00091685253
29666	14.91125382	0.00090495171
29667	14.92485898	0.00087076868
29668	14.93846413	0.00091483667
29669	14.95206929	0.00083588318
29670	14.96567445	0.00078605066
29671	14.97927961	0.00077877316
29672	14.99288477	0.000835905
29673	15.00648993	0.00078523926
29674	15.02009509	0.00077542607
29675	15.03370024	0.0007900175
29676	15.0473054	0.0007789575
29677	15.06091056	0.00073201812
29678	15.07451572	0.00076184589
29679	15.08812088	0.00073912679
29680	15.10172604	0.00070886395
29681	15.1153312	0.00073562574
29682	15.12893635	0.00071324615
29683	15.14254151	0.00075721376
29684	15.15614667	0.00073465883
29685	15.16975183	0.00067660068
29686	15.18335699	0.00068705576
29687	15.19696215	0.00068697944
29688	15.21056731	0.00071927164
29689	15.22417246	0.00077872107
29690	15.23777762	0.00070747832
29691	15.25138278	0.00067087429
29692	15.26498794	0.00067028222
29693	15.2785931	0.00064794651
29694	15.29219826	0.00065198709
29695	15.30580342	0.00078486077
29696	15.31940857	0.00073802723
29697	15.33301373	0.00070400662
29698	15.34661889	0.00075159608
29699	15.36022405	0.00071589502
29700	15.37382921	0.00075516742
29701	15.38743437	0.00079346484
29702	15.40103953	0.00080508298
29703	15.41464468	0.00078253377
29704	15.42824984	0.00084296228
29705	15.441855	0.00089505336
29706	15.45546016	0.00091422347
29707	15.46906532	0.00088751198
29708	15.48267048	0.00090007065
29709	15.50988079	0.00098095522
29710	15.52348595	0.00098058416
29711	15.53709111	0.00097644707
29712	15.55069627	0.0009414012
29713	15.56430143	0.00090954513
29714	15.57790659	0.00096378298
29715	15.59151175	0.00097681334
29716	15.6051169	0.00094615959
29717	15.61872206	0.00090845242
29718	15.63232722	0.00090697781
29719	15.64593238	0.00099279864
29720	15.65953754	0.0009617699
29721	15.6731427	0.0010484874
29722	15.68674786	0.0010615631
29723	15.70035301	0.001177445
29724	15.71395817	0.0011461382
29725	15.72756333	0.0011085674
29726	15.74116849	0.0011407844
29727	15.75477365	0.0010829053
29728	15.76837881	0.0010573588
29729	15.78198397	0.0010306378
29730	15.79558912	0.0010038257
29731	15.80919428	0.00095957693
29732	15.82279944	0.00091420843
29733	15.8364046	0.00091993796
29734	15.85000976	0.00080784506
29735	15.86361492	0.00081046089
29736	15.87722008	0.00080283574
29737	15.89082524	0.0008362475
29738	15.90443039	0.0008823697
29739	15.91803555	0.0008529539
29740	15.93164071	0.00080830573
29741	15.94524587	0.00074898565
29742	15.95885103	0.00075765094
29743	15.97245619	0.00080423628
29744	15.98606135	0.00083833948
29745	15.9996665	0.00077345773
29746	16.01327166	0.00075685126
29747	16.02687682	0.00073734518
29748	16.04048198	0.00068845736
29749	16.05408714	0.00062336123
29750	16.0676923	0.00067926948
29751	16.08129746	0.00068186537
29752	16.09490261	0.00065271379
29753	16.10850777	0.00060430145
29754	16.12211293	0.00058360388
29755	16.13571809	0.00059327175
29756	16.14932325	0.00061042022
29757	16.16292841	0.00060930729
29758	16.17653357	0.00060811689
29759	16.19013872	0.00063074932
29760	16.20374388	0.00066453758
29761	16.21734904	0.00067926362
29762	16.2309542	0.00067617021
29763	16.24455936	0.00063496613
29764	16.25816452	0.00061073496
29765	16.27176968	0.00062112787
29766	16.28537483	0.00063165198
29767	16.29897999	0.00065636233
29768	16.31258515	0.00068017621
29769	16.32619031	0.00071599143
29770	16.33979547	0.0008030067
29771	16.35340063	0.00087051792
29772	16.36700579	0.0010068901
29773	16.3942161	0.0011879885
29774	16.40782126	0.0011795243
29775	16.42142642	0.0012349127
29776	16.43503158	0.0012445811
29777	16.44863674	0.0012497846
29778	16.4622419	0.0012081363
29779	16.47584705	0.0011424402
29780	16.48945221	0.0011600358
29781	16.50305737	0.0012186407
29782	16.51666253	0.0013015337
29783	16.53026769	0.0012608993
29784	16.54387285	0.0012687189
29785	16.55747801	0.0012840485
29786	16.57108316	0.0012279711
29787	16.58468832	0.0012872434
29788	16.59829348	0.0013087533
29789	16.61189864	0.0013026298
29790	16.6255038	0.0013119862
29791	16.63910896	0.0013271681
29792	16.65271412	0.0013440084
29793	16.67992443	0.0013619675
29794	16.69352959	0.0013269369
29795	16.70713475	0.0013627197
29796	16.72073991	0.0013265624
29797	16.73434507	0.0013205765
29798	16.74795023	0.0011854498
29799	16.76155538	0.0012482676
29800	16.77516054	0.0011725957
29801	16.7887657	0.0012963094
29802	16.80237086	0.0012021565
29803	16.81597602	0.001192575
29804	16.82958118	0.001114376
29805	16.84318634	0.0011284921
29806	16.8567915	0.0011017884
29807	16.87039665	0.0011852293
29808	16.88400181	0.0011347526
29809	16.89760697	0.0011443583
29810	16.91121213	0.0011067612
29811	16.92481729	0.0011776607
29812	16.93842245	0.0011886859
29813	16.95202761	0.0011382194
29814	16.96563276	0.0011423045
29815	16.97923792	0.0011531101
29816	16.99284308	0.001107431
29817	17.00644824	0.0011687213
29818	17.0200534	0.0012078571
29819	17.03365856	0.0011904508
29820	17.04726372	0.0011074522
29821	17.06086887	0.0010517938
29822	17.07447403	0.001152415
29823	17.08807919	0.0011577265
29824	17.10168435	0.0012127308
29825	17.11528951	0.0010868245
29826	17.12889467	0.0011371435
29827	17.14249983	0.0011213334
29828	17.15610498	0.0010776885
29829	17.16971014	0.0011079232
29830	17.1833153	0.0010844258
29831	17.19692046	0.0010194678
29832	17.21052562	0.00096586992
29833	17.22413078	0.00094308737
29834	17.23773594	0.00090218689
29835	17.25134109	0.00093330422
29836	17.26494625	0.00081385264
29837	17.27855141	0.00078333389
29838	17.29215657	0.0007937224
29839	17.30576173	0.00079541374
29840	17.31936689	0.00073937375
29841	17.33297205	0.00072401523
29842	17.3465772	0.00089804801
29843	17.36018236	0.00077732554
29844	17.37378752	0.00079725778
29845	17.38739268	0.00078475778
29846	17.40099784	0.00074509987
29847	17.414603	0.00077827877
29848	17.42820816	0.00076417593
29849	17.44181331	0.00073596698
29850	17.45541847	0.00076052188
29851	17.46902363	0.00078186738
29852	17.48262879	0.00079050162
29853	17.49623395	0.00069777347
29854	17.50983911	0.00073696622
29855	17.52344427	0.0006902016
29856	17.53704942	0.00077469911
29857	17.55065458	0.00077580656
29858	17.56425974	0.00078952256
29859	17.5778649	0.00083618767
29860	17.59147006	0.00081476311
29861	17.60507522	0.00081916547
29862	17.61868038	0.00084696373
29863	17.63228553	0.00086888234
29864	17.64589069	0.00089577691
29865	17.65949585	0.00087941593
29866	17.67310101	0.00086331227
29867	17.68670617	0.00085312079
29868	17.70031133	0.00087440305
29869	17.71391649	0.00089737974
29870	17.72752164	0.00095554081
29871	17.7411268	0.00096994413
29872	17.75473196	0.00093251319
29873	17.76833712	0.00095752638
29874	17.78194228	0.00093338435
29875	17.79554744	0.0010015653
29876	17.8091526	0.0010369628
29877	17.82275776	0.001036591
29878	17.83636291	0.0010351286
29879	17.84996807	0.0010473636
29880	17.86357323	0.001060363
29881	17.87717839	0.0010722544
